"اليوم","نوع المحتوى","المحور","السكريبت للتعليق الصوتي (AI Voiceover)","النص على الشاشة (On-Screen Text)","موجه الذكاء الاصطناعي (AI Prompt للصورة/الخلفية)","الكابشن المكتوب (للنشر)","الـ CTA"
"اليوم 1","Reel","تريكات مذاكرة","كلنا عارفين إن امتحانات الوزارة بقت بتعتمد على الفهم مش الحفظ. في منصة إديو نور وفرنالك بنك أسئلة مطابق لأحدث المواصفات. جرب تحل امتحانين في الأسبوع وشوف الفرق.","خايف من امتحانات الوزارة؟ السر في التدريب الصح! - بنك أسئلة إديو نور - افهم مش تحفظ","A short vertical video loop of a glowing digital brain processing glowing blue and orange data particles, futuristic educational concept, navy blue background #1E3A5F, high tech, 8k --ar 9:16","التدريب المستمر هو اللي بيكسر رهبة الامتحان. جرب تحل من بنك أسئلة #EduNor.","سجل في المنصة دلوقتي اللينك في البايو"
"اليوم 1","Post","توعية بالمنصة","-","-","EduNor brand style: modern educational flat design, navy blue (#1E3A5F) primary background, golden yellow (#F4A825) accents, white text, clean minimal layout, soft geometric shapes, rounded corners, professional yet friendly. A 3D illustration of an Egyptian student holding a tablet looking confident. --ar 4:5","نظام التابلت مش عقبة.. ده فرصتك للتفوق! نظام التقييم الجديد محتاج تدريب مستمر. في منصة EduNor جمعنالك كل الأسئلة اللي بتغطي نواتج التعلم المستهدفة. افهم مش تحفظ 💡","شاركنا في التعليقات.. إيه أكتر مادة عاملالك قلق؟"
"اليوم 2","Reel","شرح تفاعلي","سؤال زي ده بيضيع وقت كتير في الامتحان. بدل الطريقة التقليدية استخدم القاعدة السحرية دي. وعشان تتدرب أكتر ادخل على أسئلة إديو نور.","تريكة في ثواني هتوفر عليك دقايق! - حل أسرع - إديو نور معاك","A minimalist animated vertical background showing abstract floating mathematical symbols and lightbulbs in golden yellow (#F4A825) against a deep navy blue (#1E3A5F) background, clean and professional --ar 9:16","الوقت في الامتحان أغلى من الذهب! اتدرب على الحل السريع مع #EduNor.","اعمل سيف للفيديو عشان تراجعه قبل الامتحان"
"اليوم 2","Post","نصيحة سريعة","-","-","EduNor brand style: modern educational flat design, white (#FFFFFF) background, navy blue (#1E3A5F) accents, golden yellow (#F4A825) highlights, clean minimal layout, soft geometric shapes, rounded corners. Large lightbulb icon (💡) at the top, a minimalist Pomodoro timer next to modern books. --ar 1:1","💡 نصيحة من EduNor: قانون الـ 20 دقيقة لتركيز مضاعف. عشان تتغلب على التشتت اقسم وقتك: 20 دقيقة مذاكرة بتركيز وبعدها 5 دقايق راحة. جربها وانت بتحل اختبارات EduNor. 🔄","منشن صاحبك اللي مابيركزش أكتر من 5 دقايق!"
"اليوم 3","Reel","مميزات EduNor","الكتاب الخارجي ثابت لكن بنك أسئلة إديو نور متجدد! بنقدملك تقرير أداء بيعرفك نقاط ضعفك بعد كل امتحان عشان تركز عليها. الذكاء إنك تعرف بتغلط في إيه.","ليه بنك أسئلة EduNor مختلف؟ - تقارير ذكية - اعرف نقط ضعفك","(استخدم تسجيل شاشة حقيقي Dashboard لمنصة EduNor كخلفية بدلاً من الذكاء الاصطناعي، مع تعتيم خفيف ووضع النصوص فوقه)","عشان تتفوق، لازم تعرف أخطاءك وتعالجها. منصتنا بتقدملك تقارير أداء ذكية. #تطوير_التعليم #EduNor","اكتشف مستواك الحقيقي.. الرابط في البايو"
"اليوم 3","Post","تفاعل","-","-","EduNor brand style: modern educational flat design, navy blue (#1E3A5F) primary background, golden yellow (#F4A825) accents, clean minimal layout, soft geometric shapes, rounded corners. A glowing futuristic hourglass on a student desk. --ar 4:5","لو معاك آلة الزمن.. ترجع لأول السنة ولا تطلع للنتيجة؟ فترة المراجعات النهائية بتخلينا نفكر في الوقت اللي ضاع. لسه فيها وقت لو بدأت صح وتدربت على أسئلة الوزارة الحقيقية.","اكتبلنا في التعليقات إجابتك!"
"اليوم 4","Reel","أخطاء شائعة","تظليل إجابتين والتردد في آخر لحظة! الأفضل تحل بالرصاص خفيف الأول. الأهم هو التدريب على إدارة وقت الامتحان وده اللي بنركز عليه في إديو نور.","غلطة بتضيع درجات في البابل شيت! - إدارة الوقت - إديو نور","A vertical animated loop of a clean bubble sheet with a glowing golden pencil filling a bubble. Navy blue (#1E3A5F) and golden yellow (#F4A825) theme. --ar 9:16","التسرع والتردد بيضيعوا درجات مضمونة. اتدرب على إدارة الوقت مع اختبارات #EduNor الموقوتة.","اعمل شير للفيديو لأي طالب تعرفه"
"اليوم 4","Post","تحفيز","-","-","EduNor brand style: modern educational flat design, golden yellow gradient background, navy blue (#1E3A5F) typography, clean minimal layout, soft geometric shapes, rounded corners, educational icons. Decorative elements: small stars ✨ and rockets 🚀. --ar 1:1","✨ كل سؤال بتحله غلط دلوقتي هو درجة بتكسبها في امتحان آخر السنة. متخافش من الغلط اتعلم منه. مش لازم تبقى الأول... بس لازم تبدأ 🚀 #EduNor","ابدأ تدريبك المجاني على EduNor النهارده"
"اليوم 5","Reel","أولياء الأمور","الضغط النفسي أسوأ من صعوبة المنهج. وفروا لولادكم بيئة هادية وساعدوهم يلاقوا المصادر الصح. إحنا في إديو نور بنسهل عليكم المتابعة بتقارير توصلكم بمستوى أولادكم.","رسالة لكل أب وأم طالب في ثانوية عامة - الدعم النفسي - تقارير إديو نور","A vertical video loop of a warm, comforting home study environment, soft lighting, with digital UI elements showing progress bars in teal (#2EC4B6) floating in the air. --ar 9:16","التقييم المستمر بيريح الطالب وولي الأمر. تابع تطور ابنك خطوة بخطوة مع #EduNor.","ابعث الفيديو ده لولي أمر عشان تطمنه"
"اليوم 5","Post","نصيحة تعليمية","-","-","EduNor brand style: modern educational flat design, light gray (#F5F5F5) background, navy blue (#1E3A5F) accents, golden yellow (#F4A825) highlights, clean minimal layout, soft geometric shapes, rounded corners. An open book with a glowing lightbulb 💡 above it. --ar 4:5","💡 نصيحة من EduNor: الأسئلة المقالية محتاجة فهم مش دش! الخطوات: 1- اقرأ مرتين 2- حدد المطلوب 3- اكتب إجابة مختصرة وواضحة. تدرب عليها في منصتنا.","إيه أكتر سؤال مقالي واجهت فيه صعوبة؟"
